Fecha,Último
5/9/17,"6.143,40"
4/9/17,"6.174,50"
1/9/17,"6.283,50"
31/08/2017,"6.318,30"
30/08/2017,"6.235,40"
29/08/2017,"6.304,50"
28/08/2017,"6.427,20"
25/08/2017,"6.391,00"
24/08/2017,"6.399,40"
23/08/2017,"6.299,00"
22/08/2017,"6.214,00"
21/08/2017,"6.153,50"
18/08/2017,"6.114,10"
17/08/2017,"6.148,90"
16/08/2017,"6.168,10"
14/08/2017,"6.117,60"
11/8/17,"6.056,90"
10/8/17,"6.076,30"
9/8/17,"6.072,80"
8/8/17,"6.142,90"
7/8/17,"6.108,50"
4/8/17,"6.090,00"
3/8/17,"6.048,10"
2/8/17,"6.056,20"
1/8/17,"6.021,90"
31/07/2017,"6.061,90"
28/07/2017,"5.979,60"
27/07/2017,"5.989,80"
26/07/2017,"5.996,30"
25/07/2017,"5.941,00"
24/07/2017,"5.900,80"
21/07/2017,"5.851,70"
20/07/2017,"5.826,80"
19/07/2017,"5.820,00"
18/07/2017,"5.829,70"
17/07/2017,"5.881,70"
14/07/2017,"5.761,90"
13/07/2017,"5.765,20"
12/7/17,"5.697,70"
11/7/17,"5.664,60"
10/7/17,"5.617,90"
7/7/17,"5.518,80"
6/7/17,"5.496,00"
5/7/17,"5.537,20"
4/7/17,"5.557,70"
3/7/17,"5.540,30"
30/06/2017,"5.454,10"
29/06/2017,"5.401,90"
28/06/2017,"5.459,20"
27/06/2017,"5.459,90"
23/06/2017,"5.606,50"
22/06/2017,"5.553,70"
21/06/2017,"5.584,00"
20/06/2017,"5.629,20"
19/06/2017,"5.657,00"
16/06/2017,"5.672,90"
15/06/2017,"5.789,80"
14/06/2017,"5.799,20"
13/06/2017,"5.750,40"
12/6/17,"5.742,00"
9/6/17,"5.693,20"
8/6/17,"5.675,70"
7/6/17,"5.683,60"
6/6/17,"5.697,80"
5/6/17,"5.669,00"
2/6/17,"5.648,50"
1/6/17,"5.588,00"
31/05/2017,"5.563,90"
30/05/2017,"5.607,70"
29/05/2017,"5.596,90"
26/05/2017,"5.589,00"
25/05/2017,"5.635,20"
24/05/2017,"5.574,30"
23/05/2017,"5.580,10"
22/05/2017,"5.629,50"
