Fecha,Último
28/08/2017,"619,63"
25/08/2017,"617,73"
24/08/2017,"609,52"
23/08/2017,"607,57"
22/08/2017,"622,10"
21/08/2017,"655,24"
18/08/2017,"655,00"
17/08/2017,"631,45"
16/08/2017,"619,37"
14/08/2017,"608,62"
11/8/17,"582,95"
10/8/17,"579,83"
9/8/17,"572,00"
8/8/17,"573,84"
7/8/17,"572,64"
4/8/17,"568,44"
3/8/17,"565,53"
2/8/17,"570,75"
1/8/17,"564,99"
31/07/2017,"552,76"
28/07/2017,"539,52"
27/07/2017,"542,00"
26/07/2017,"541,33"
25/07/2017,"536,86"
24/07/2017,"532,33"
21/07/2017,"539,00"
20/07/2017,"550,00"
19/07/2017,"551,13"
18/07/2017,"557,37"
17/07/2017,"555,99"
14/07/2017,"556,00"
13/07/2017,"550,72"
12/7/17,"548,91"
11/7/17,"538,16"
10/7/17,"525,30"
7/7/17,"517,88"
6/7/17,"519,00"
5/7/17,"514,49"
4/7/17,"514,07"
3/7/17,"507,00"
30/06/2017,"506,10"
29/06/2017,"509,80"
28/06/2017,"512,15"
27/06/2017,"515,45"
23/06/2017,"511,15"
22/06/2017,"510,00"
21/06/2017,"507,98"
20/06/2017,"507,58"
19/06/2017,"511,52"
16/06/2017,"515,81"
15/06/2017,"510,01"
14/06/2017,"509,70"
13/06/2017,"511,89"
12/6/17,"511,84"
9/6/17,"510,07"
8/6/17,"509,93"
7/6/17,"508,70"
6/6/17,"505,10"
5/6/17,"507,25"
2/6/17,"503,98"
1/6/17,"515,01"
31/05/2017,"508,89"
30/05/2017,"492,00"
29/05/2017,"481,87"
26/05/2017,"488,72"
25/05/2017,"481,74"
24/05/2017,"478,00"
23/05/2017,"479,46"
22/05/2017,"451,99"
19/05/2017,"470,09"
18/05/2017,"470,01"
17/05/2017,"470,40"
16/05/2017,"488,72"
15/05/2017,"472,31"
12/5/17,"472,00"
11/5/17,"472,10"
10/5/17,"468,92"
9/5/17,"471,50"
8/5/17,"473,09"
5/5/17,"473,26"
4/5/17,"479,98"
3/5/17,"480,01"
2/5/17,"480,62"
28/04/2017,"485,19"
27/04/2017,"491,07"
26/04/2017,"494,91"
25/04/2017,"495,96"
24/04/2017,"497,67"
21/04/2017,"494,95"
20/04/2017,"489,97"
18/04/2017,"489,00"
17/04/2017,"488,00"
13/04/2017,"483,90"
12/4/17,"481,89"
11/4/17,"472,05"
10/4/17,"471,00"
7/4/17,"467,42"
6/4/17,"461,01"
5/4/17,"436,83"
4/4/17,"430,00"
3/4/17,"425,00"
31/03/2017,"428,96"
30/03/2017,"435,70"
29/03/2017,"429,48"
28/03/2017,"424,00"
27/03/2017,"418,03"
24/03/2017,"416,73"
23/03/2017,"416,86"
22/03/2017,"413,98"
21/03/2017,"412,54"
20/03/2017,"414,81"
17/03/2017,"412,81"
16/03/2017,"412,19"
15/03/2017,"410,09"
14/03/2017,"411,99"
13/03/2017,"410,71"
10/3/17,"409,43"
9/3/17,"408,93"
8/3/17,"405,10"
7/3/17,"406,11"
6/3/17,"407,68"
3/3/17,"401,87"
2/3/17,"403,94"
1/3/17,"406,00"
28/02/2017,"402,33"
27/02/2017,"399,00"
24/02/2017,"399,97"
23/02/2017,"396,00"
22/02/2017,"390,01"
21/02/2017,"388,00"
20/02/2017,"385,00"
17/02/2017,"388,00"
16/02/2017,"388,89"
15/02/2017,"388,00"
14/02/2017,"386,70"
13/02/2017,"387,17"
10/2/17,"387,17"
9/2/17,"389,58"
8/2/17,"388,75"
7/2/17,"383,27"
6/2/17,"386,68"
3/2/17,"389,94"
2/2/17,"390,00"
1/2/17,"388,43"
31/01/2017,"388,13"
30/01/2017,"391,80"
27/01/2017,"395,00"
26/01/2017,"395,00"
25/01/2017,"394,99"
24/01/2017,"396,08"
23/01/2017,"395,07"
20/01/2017,"394,00"
19/01/2017,"394,74"
18/01/2017,"396,13"
17/01/2017,"396,01"
16/01/2017,"399,91"
13/01/2017,"401,83"
12/1/17,"400,76"
11/1/17,"401,29"
10/1/17,"397,10"
9/1/17,"398,97"
6/1/17,"399,26"
5/1/17,"399,50"
4/1/17,"402,52"
3/1/17,"399,33"
30/12/2016,"399,33"
29/12/2016,"394,04"
28/12/2016,"393,00"
27/12/2016,"395,00"
26/12/2016,"394,52"
23/12/2016,"395,00"
22/12/2016,"395,00"
21/12/2016,"395,01"
20/12/2016,"396,00"
19/12/2016,"396,00"
16/12/2016,"399,86"
15/12/2016,"395,91"
14/12/2016,"398,00"
13/12/2016,"398,46"
12/12/16,"398,48"
9/12/16,"399,04"
7/12/16,"399,99"
6/12/16,"400,00"
5/12/16,"396,50"
2/12/16,"400,00"
1/12/16,"397,96"
30/11/2016,"400,76"
29/11/2016,"404,09"
28/11/2016,"405,37"
25/11/2016,"403,00"
24/11/2016,"405,00"
23/11/2016,"405,99"
22/11/2016,"405,54"
21/11/2016,"406,01"
18/11/2016,"403,00"
17/11/2016,"398,99"
16/11/2016,"401,00"
15/11/2016,"402,00"
14/11/2016,"402,51"
11/11/16,"403,44"
10/11/16,"408,50"
9/11/16,"409,00"
8/11/16,"409,47"
7/11/16,"408,81"
4/11/16,"408,58"
3/11/16,"408,62"
2/11/16,"409,02"
28/10/2016,"409,76"
27/10/2016,"409,18"
26/10/2016,"409,84"
25/10/2016,"409,97"
24/10/2016,"410,71"
21/10/2016,"408,87"
20/10/2016,"409,49"
19/10/2016,"410,45"
18/10/2016,"409,02"
17/10/2016,"411,53"
14/10/2016,"411,98"
13/10/2016,"412,47"
12/10/16,"413,68"
11/10/16,"408,76"
7/10/16,"406,56"
6/10/16,"406,78"
5/10/16,"403,38"
4/10/16,"404,17"
3/10/16,"404,95"
30/09/2016,"404,63"
29/09/2016,"405,38"
28/09/2016,"408,20"
27/09/2016,"407,14"
26/09/2016,"412,97"
23/09/2016,"411,17"
22/09/2016,"412,31"
21/09/2016,"413,01"
20/09/2016,"415,00"
16/09/2016,"414,20"
15/09/2016,"413,63"
14/09/2016,"411,89"
13/09/2016,"409,04"
12/9/16,"410,00"
9/9/16,"409,99"
8/9/16,"410,27"
7/9/16,"410,08"
6/9/16,"409,99"
5/9/16,"409,99"
2/9/16,"410,00"
1/9/16,"409,15"
31/08/2016,"411,21"
30/08/2016,"408,89"
29/08/2016,"409,89"
26/08/2016,"410,00"
25/08/2016,"411,00"
24/08/2016,"411,01"
23/08/2016,"409,50"
22/08/2016,"410,21"
19/08/2016,"410,70"
18/08/2016,"409,21"
17/08/2016,"411,89"
16/08/2016,"410,20"
12/8/16,"410,57"
11/8/16,"410,94"
10/8/16,"411,96"
9/8/16,"412,00"
8/8/16,"412,16"
5/8/16,"412,09"
4/8/16,"412,98"
3/8/16,"412,00"
2/8/16,"412,01"
1/8/16,"413,85"
29/07/2016,"413,91"
28/07/2016,"413,66"
27/07/2016,"413,04"
26/07/2016,"412,66"
25/07/2016,"411,98"
22/07/2016,"414,44"
21/07/2016,"410,95"
20/07/2016,"410,00"
19/07/2016,"410,94"
18/07/2016,"408,91"
15/07/2016,"407,03"
14/07/2016,"407,40"
13/07/2016,"410,00"
12/7/16,"407,04"
11/7/16,"408,11"
8/7/16,"409,37"
7/7/16,"409,13"
6/7/16,"412,03"
5/7/16,"334,58"
4/7/16,"334,64"
1/7/16,"334,91"
30/06/2016,"328,97"
29/06/2016,"326,00"
28/06/2016,"325,92"
24/06/2016,"330,61"
23/06/2016,"338,00"
22/06/2016,"334,31"
21/06/2016,"333,19"
20/06/2016,"328,43"
17/06/2016,"332,82"
16/06/2016,"331,98"
15/06/2016,"331,54"
14/06/2016,"335,75"
13/06/2016,"339,90"
10/6/16,"339,99"
9/6/16,"334,88"
8/6/16,"338,21"
7/6/16,"341,74"
6/6/16,"344,13"
3/6/16,"354,99"
2/6/16,"346,14"
1/6/16,"354,50"
31/05/2016,"354,98"
30/05/2016,"355,05"
27/05/2016,"351,38"
26/05/2016,"351,67"
25/05/2016,"355,04"
24/05/2016,"353,51"
23/05/2016,"342,79"
20/05/2016,"334,07"
19/05/2016,"328,94"
18/05/2016,"333,97"
17/05/2016,"331,32"
16/05/2016,"330,78"
13/05/2016,"341,99"
12/5/16,"337,57"
11/5/16,"331,50"
10/5/16,"327,00"
9/5/16,"326,43"
6/5/16,"329,00"
5/5/16,"328,13"
4/5/16,"323,90"
3/5/16,"327,96"
2/5/16,"322,22"
29/04/2016,"324,50"
28/04/2016,"322,00"
27/04/2016,"321,42"
26/04/2016,"315,90"
25/04/2016,"312,30"
22/04/2016,"320,00"
21/04/2016,"317,00"
20/04/2016,"319,70"
19/04/2016,"320,87"
18/04/2016,"315,32"
15/04/2016,"317,93"
14/04/2016,"314,01"
13/04/2016,"316,00"
12/4/16,"318,96"
11/4/16,"306,60"
